patternid,Route,Direction,Pattern,stop_id,OnStreet,    AtStreet,  Latitude,  Longitude,  Distance,sequence,LastStop,StopPosition,AgencyId
44643,30,0,IB,1689,J ST,56TH ST,38564683,-121434476,1241.036493,2,0,WB,1
44643,30,0,IB,1691,J ST,53RD ST,38565748,-121438639,389.109252,3,0,WB,1
44643,30,0,IB,1692,J ST,RODEO WAY,38566055,-121439941,616.3666175,4,0,WB,1
44643,30,0,IB,1693,J ST,51ST ST,38566605,-121442009,553.0825164,5,0,WB,1
44643,30,0,IB,1694,J ST,48TH ST,38567158,-121443821,405.7270308,6,0,WB,1
44643,30,0,IB,1695,J ST,47TH ST,38567496,-121445189,1230.612352,7,0,WB,1
44643,30,0,IB,1697,J ST,43RD ST,38568612,-121449280,1098.873766,8,0,WB,1
44643,30,0,IB,1699,J ST,40TH ST,38569573,-121452959,649.5619423,9,0,WB,1
44643,30,0,IB,1700,J ST,39TH ST,38570171,-121455114,414.0622867,10,0,WB,1
44643,30,0,IB,1701,J ST,38TH ST,38570534,-121456494,587.342628,11,0,WB,1
44643,30,0,IB,1702,J ST,36TH ST,38571060,-121458452,556.16479,12,0,WB,1
44643,30,0,IB,1703,J ST,35TH ST,38571554,-121460309,970.216086,13,0,WB,1
44643,30,0,IB,1704,J ST,33RD ST,38572422,-121463552,1036.510456,14,0,WB,1
44643,30,0,IB,1705,ALHAMBRA BLVD,K ST,38571400,-121466004,1057.80436,15,0,SB,1
44643,30,0,IB,1707,L ST,29TH ST,38571335,-121468651,565.585876,16,0,WB,1
44643,30,0,IB,1708,L ST,28TH ST,38571812,-121470543,621.9752854,17,0,WB,1
44643,30,0,IB,1709,L ST,26TH ST,38572350,-121472588,986.9850919,18,0,WB,1
44643,30,0,IB,1710,L ST,24TH ST,38573219,-121475868,789.6462205,19,0,WB,1
44643,30,0,IB,1711,L ST,22ND ST,38573917,-121478516,396.3766568,20,0,WB,1
44643,30,0,IB,519,L ST,21ST ST,38574249,-121479843,798.9522244,21,0,WB,1
44643,30,0,IB,521,L ST,19TH ST,38574993,-121482491,800.0156398,22,0,WB,1
44643,30,0,IB,522,L ST,17TH ST,38575684,-121485176,1209.86893,23,0,WB,1
44643,30,0,IB,525,L ST,14TH ST,38576819,-121489190,1320.888927,24,0,WB,1
44643,30,0,IB,526,L ST,11TH ST,38577934,-121493614,805.1245276,25,0,WB,1
44643,30,0,IB,528,L ST,9TH ST,38578687,-121496282,1245.643865,26,0,WB,1
44643,30,0,IB,5252,L ST,5TH ST,38579802,-121500439,1174.605958,27,0,WB,1
44643,30,0,IB,281,5TH ST,I ST,38582420,-121499825,965.0947736,28,0,NB,1
44643,30,0,IB,282,AMTRAK,DEPOT,38584547,-121500163,0,29,1,WB,1
44644,30,1,OB,414,J ST,6TH ST,38581602,-121498661,667.1925361,2,0,EB,1
44644,30,1,OB,415,J ST,8TH ST,38580997,-121496433,528.1252264,3,0,EB,1
44644,30,1,OB,416,J ST,9TH ST,38580536,-121494675,414.0232349,4,0,EB,1
44644,30,1,OB,417,J ST,10TH ST,38580172,-121493294,473.1870604,5,0,EB,1
44644,30,1,OB,418,J ST,11TH ST,38579758,-121491717,1109.340525,6,0,EB,1
44644,30,1,OB,4763,J ST,14TH ST,38578794,-121487986,899.598435,7,0,EB,1
44644,30,1,OB,1716,J ST,16TH ST,38577968,-121484995,628.7690715,8,0,EB,1
44644,30,1,OB,1717,J ST,18TH ST,38577412,-121482898,633.137664,9,0,EB,1
44644,30,1,OB,1718,J ST,19TH ST,38576844,-121480795,1119.584039,10,0,EB,1
44644,30,1,OB,1720,J ST,22ND ST,38575857,-121477049,1186.045148,11,0,EB,1
44644,30,1,OB,1721,J ST,25TH ST,38574814,-121473081,837.3411155,12,0,EB,1
44644,30,1,OB,1722,J ST,27TH ST,38574051,-121470294,378.7081201,13,0,EB,1
44644,30,1,OB,1723,J ST,28TH ST,38573724,-121469031,1238.162579,14,0,EB,1
44644,30,1,OB,1725,J ST,ALHAMBRA BLVD,38572651,-121464890,841.5345177,15,0,EB,1
44644,30,1,OB,1726,J ST,33RD ST,38571907,-121462074,719.048855,16,0,EB,1
44644,30,1,OB,1727,J ST,35TH ST,38571208,-121459709,716.0356332,17,0,EB,1
44644,30,1,OB,1728,J ST,37TH ST,38570614,-121457291,862.3294718,18,0,EB,1
44644,30,1,OB,1729,J ST,39TH ST,38569817,-121454431,566.5253871,19,0,EB,1
44644,30,1,OB,1730,J ST,40TH ST,38569290,-121452546,970.2202461,20,0,EB,1
