trip_id,arrival_time,departure_time,stop_id,sequence,pickup_type,drop_off_type
1075073,16:40:00,16:40:00,275,1,0,0
1075074,16:10:00,16:10:00,275,1,0,0
1075075,15:40:00,15:40:00,275,1,0,0
1075076,15:10:00,15:10:00,275,1,0,0
1075077,14:40:00,14:40:00,275,1,0,0
1075078,21:27:00,21:27:00,275,1,0,0
1075079,20:27:00,20:27:00,275,1,0,0
1075080,19:27:00,19:27:00,275,1,0,0
1075081,18:26:00,18:26:00,275,1,0,0
1075082,17:56:00,17:56:00,275,1,0,0
1075083,17:26:00,17:26:00,275,1,0,0
1075084,16:56:00,16:56:00,275,1,0,0
1075085,16:25:00,16:25:00,275,1,0,0
1075086,15:55:00,15:55:00,275,1,0,0
1075087,15:25:00,15:25:00,275,1,0,0
1075088,14:55:00,14:55:00,275,1,0,0
1075089,14:25:00,14:25:00,275,1,0,0
1075090,13:55:00,13:55:00,275,1,0,0
1075091,13:25:00,13:25:00,275,1,0,0
1075092,12:55:00,12:55:00,275,1,0,0
1075093,12:25:00,12:25:00,275,1,0,0
1075094,11:55:00,11:55:00,275,1,0,0
1075095,11:25:00,11:25:00,275,1,0,0
1075096,10:56:00,10:56:00,275,1,0,0
1075097,10:26:00,10:26:00,275,1,0,0
1075098,9:56:00,9:56:00,275,1,0,0
1075099,9:26:00,9:26:00,275,1,0,0
1075100,8:56:00,8:56:00,275,1,0,0
1075101,8:26:00,8:26:00,275,1,0,0
1075102,7:56:00,7:56:00,275,1,0,0
1075103,7:26:00,7:26:00,275,1,0,0
1075104,6:56:00,6:56:00,275,1,0,0
1075105,6:26:00,6:26:00,275,1,0,0
1075106,5:56:00,5:56:00,275,1,0,0
1075107,17:53:00,17:53:00,275,27,1,0
1075108,17:27:00,17:27:00,275,27,1,0
1075109,16:57:00,16:57:00,275,27,1,0
1075110,8:53:00,8:53:00,275,27,1,0
1075111,8:23:00,8:23:00,275,27,1,0
1075112,7:53:00,7:53:00,275,27,1,0
1075113,21:33:00,21:33:00,275,27,1,0
1075114,20:33:00,20:33:00,275,27,1,0
1075115,19:33:00,19:33:00,275,27,1,0
1075116,19:03:00,19:03:00,275,27,1,0
1075117,18:37:00,18:37:00,275,27,1,0
1075118,18:07:00,18:07:00,275,27,1,0
1075119,17:41:00,17:41:00,275,27,1,0
1075120,17:11:00,17:11:00,275,27,1,0
1075121,16:41:00,16:41:00,275,27,1,0
1075122,16:11:00,16:11:00,275,27,1,0
1075123,15:41:00,15:41:00,275,27,1,0
1075124,15:10:00,15:10:00,275,27,1,0
1075125,14:40:00,14:40:00,275,27,1,0
1075126,14:10:00,14:10:00,275,27,1,0
1075127,13:40:00,13:40:00,275,27,1,0
1075128,13:10:00,13:10:00,275,27,1,0
1075129,12:40:00,12:40:00,275,27,1,0
1075130,12:10:00,12:10:00,275,27,1,0
1075131,11:40:00,11:40:00,275,27,1,0
1075132,11:10:00,11:10:00,275,27,1,0
1075133,10:38:00,10:38:00,275,27,1,0
1075134,10:08:00,10:08:00,275,27,1,0
1075135,9:38:00,9:38:00,275,27,1,0
1075136,9:08:00,9:08:00,275,27,1,0
1075137,8:37:00,8:37:00,275,27,1,0
1075138,8:07:00,8:07:00,275,27,1,0
1075139,7:37:00,7:37:00,275,27,1,0
1075140,7:07:00,7:07:00,275,27,1,0
1075141,6:35:00,6:35:00,275,27,1,0
1075142,20:00:00,20:00:00,275,1,0,0
1075143,7:00:00,7:00:00,275,1,0,0
1075144,19:00:00,19:00:00,275,1,0,0
1075145,18:00:00,18:00:00,275,1,0,0
1075146,17:00:00,17:00:00,275,1,0,0
1075147,16:00:00,16:00:00,275,1,0,0
1075148,15:00:00,15:00:00,275,1,0,0
1075149,14:00:00,14:00:00,275,1,0,0
1075150,13:00:00,13:00:00,275,1,0,0
1075151,12:00:00,12:00:00,275,1,0,0
1075152,11:00:00,11:00:00,275,1,0,0
1075153,10:00:00,10:00:00,275,1,0,0
1075154,9:00:00,9:00:00,275,1,0,0
1075155,8:00:00,8:00:00,275,1,0,0
1075156,20:30:00,20:30:00,275,1,0,0
1075157,19:30:00,19:30:00,275,1,0,0
1075158,18:30:00,18:30:00,275,1,0,0
1075159,17:30:00,17:30:00,275,1,0,0
1075160,16:30:00,16:30:00,275,1,0,0
1075161,15:30:00,15:30:00,275,1,0,0
1075162,14:30:00,14:30:00,275,1,0,0
1075163,13:30:00,13:30:00,275,1,0,0
1075164,12:30:00,12:30:00,275,1,0,0
1075165,11:30:00,11:30:00,275,1,0,0
1075166,10:30:00,10:30:00,275,1,0,0
1075167,9:30:00,9:30:00,275,1,0,0
1075168,8:30:00,8:30:00,275,1,0,0
1075169,7:30:00,7:30:00,275,1,0,0
1075170,6:30:00,6:30:00,275,1,0,0
1075171,20:54:00,20:54:00,275,27,1,0
1075172,7:58:00,7:58:00,275,27,1,0
1075173,19:54:00,19:54:00,275,27,1,0
1075174,18:54:00,18:54:00,275,27,1,0
1075175,17:58:00,17:58:00,275,27,1,0
1075176,16:58:00,16:58:00,275,27,1,0
1075177,15:58:00,15:58:00,275,27,1,0
1075178,14:58:00,14:58:00,275,27,1,0
1075179,13:58:00,13:58:00,275,27,1,0
1075180,12:58:00,12:58:00,275,27,1,0
1075181,11:58:00,11:58:00,275,27,1,0
1075182,10:58:00,10:58:00,275,27,1,0
1075183,9:58:00,9:58:00,275,27,1,0
1075184,8:58:00,8:58:00,275,27,1,0
1075185,21:24:00,21:24:00,275,27,1,0
1075186,20:24:00,20:24:00,275,27,1,0
